rt	media	hashtag	host	nominees	winner	presenter
	http://t.co/	goldenglobes	looking forward to watching tina fey and amy poehler	s long	best personality on the red carpet tonight	('t', 'tom')
	http://t.co/	goldenglobes	s our	every single team i have rooted for this weekend ha	best movie	(' she just', 'out')
	http://t.co/	goldenglobes	goldenglobes best choice for	still sad that the texans	best dressed	(' and', 'in')
	http://t.co/	goldenglobes	tina fey	but has not	best facial hair of the night	(' she just', 'out')
	http://t.co/	goldenglobes	goldenglobes	i have never seen someone so	best supporting actor in a motion picture for his role in django unchained	('m gonna keep watching the golden globes which is what i was tweeting about before you', 'your')
	http://t.co/	redcarpet	goldenglobes	ve	best supporting actor in a motion picture for his role in django unchained	('bonnieupright must', 'up your mrs. cooper name. bradley cooper is way too handsome', 'not')
	http://t.co/	goldenglobes	tina fey and amy poehler arrive at the 	goldenglobes must have gotten	best supporting actor in a motion picture for his role in django unchained	('m', 'award')
	http://t.co/	goldenglobes	if the red carpet	leo	best supporting actor in	(' you can check out the winners as they are', 'here')
	http://t.co/	goldenglobes	s our	broncos	best supporting actor for django unchained	('amy poehler neckline', 'she')
	http://t.co/	goldenglobes	tina fey and amy poehler arrive at the 	tommy lee jones	best supporting actor	('i would', 'almost anything', 'sit')
	http://t.co/	goldenglobes	goldenglobes	tommy lee jones	best supporting actor in	('nbc keeping audio of producer counting down while network segues to golden globes', 'some idea what matt lauer has', 'deal')
	http://t.co/	redcarpet	rolonda watts on	tommy lee jones	best supporting actor in	('kw will be', 'at')
	http://t.co/	goldenglobes	goldenglobes tonight is to see tina and amy	leo	best supporting actor	('mbretosespn less interest this year since this time oscar nominations were', 'before')
	http://t.co/	goldenglobes	tina fey and amy poehler	booooo my leo	best supporting actor	('m', 'at')
	http://t.co/	goldenglobes	does not look how he sounds 	and leonardo	best supporting actor in	('s first red', 'dress')
	http://t.co/	goldenglobes	goldenglobes are the first ones	leo dicaprio	best supporting actor in	(' she', 'me')
	http://t.co/	goldenglobes	dick under his belly	s happy for his costar or sad that he	best supporting	('of course when they', 'kate')
	http://t.co/	goldenglobes	super excited for tina fey and amy pohler to	leo	best supporting actor for django unchained	('bradley cooper', 'jennifer lawrence', 'best')
	http://t.co/	goldenglobes	the fact that tina fey and amy poehler are teaming up as	s	best supporting actor in a motion picture for his role in django unchained	('mandy patinkin will drink from his left hand until halfway through the night he', 'that')
	http://t.co/	goldenglobes	tina fey and amy poehler	t watch much current tv so these nominees are	best supporting actor in a motion picture for his role in django unchained	('please', 'it', 'hoffman')
	http://t.co/	goldenglobes	and nominee	sofia	best supporting actor in a motion picture for his role in django unchained	(' when you', 'bradley')
	http://t.co/	goldenglobes	tina fey and amy poehler	sophia vergara	best supporting actor in	(' and a great pair', 'first')
	http://t.co/	modernfamily	tina fey and amy poehler	hayden totally	best supporting actor in	('s', 'award', 'the')
	http://t.co/	matame	tina fey and amy poehler	my leonardo dicaprio	best supporting actor in	('bradley cooper', 'kate hudson', 'nominees')
	http://t.co/	goldenglobes	the golden globes red carpet countdown is	watching the golden globes because of i	best supporting actor in	('goldenglobes stage', '1st')
	http://t.co/	goldenglobes	excited to watch amy and tina	i	best supporting actor for django unchained	('bradley cooper', 'kate hudson', 'christoph')
	http://t.co/	goldenglobes	s looking forward to amy poehler and tina fey as	i	best supporting actor in a motion picture for his role in django unchained	('can we not', 'out awards and just', 'the')
	http://t.co/	goldenglobes	amypoehler	my leonardo dicaprio	best supporting actor	('kate hudson', 'an')
	http://t.co/	goldenglobes	s golden globes will be	i	best supporting actor for django unchained	('dennis quaid and kerry washington', 'for')
	http://t.co/	eredcarpet	from the red carpet to the	mark cuban long	best supporting actor for django unchained http	('m', 'at')
	http://t.co/	goldenglobes	fashionsquad	i	best supporting actor award	(' on my screen', 'at')
	http://t.co/	goldenglobes	the	i	best supporting actor in	(' shocked laughter kinda', 'it')
	http://t.co/	goldenglobes	who do you think will give the audience more chuckles as a	my invitation to the golden globes must have got	best supporting actor	(' so excited and honored to be', 'at')
	http://t.co/	stylechat	m settled in to watch tina fey and amy poehler	i	best supporting actor	('i think they', 'awards away', 'people')
	http://t.co/	goldenglobes	i actually do give a shit about the golden globes this year only because of the	i	best supporting actor for	('i would', 'everything i have', 'be')
	http://t.co/	wendyredcarpet	no puede haber mejor	i	best suppporting actor	(' they actually', 'an')
	http://t.co/	goldenglobes	so excited to see amy poehler	i	best supporting actor for his role in django unchained	('can we stop', 'veteran')
	http://t.co/	eredcarpet	golden globes	but the earl of grantham already	best supporting actor for django unchained	('re going to', 'award', 'someone')
	http://t.co/	eredcarpet	nottinafey to	ll have	best supporting actor in a motion picture for his role in django unchained	('oliviastrut to the microphone', 'at')
	http://t.co/	redcarpet	t wait to see amy poehler and tina fey	i	best supporting actor in	('they should only', 'awards', 'people')
	http://t.co/	eredcarpet	s work better when she	mccoys	best supporting actor in	('imkristenbell', '@')
	http://t.co/	goldenglobes	just for the	liz n dick	best supporting actor in	(' they actually', 'an')
	http://t.co/	redcarpet	t wait to see	thehour just	best supporting actor	('why was bruce jenner', 'with')
	http://t.co/	goldenglobes	best	s	best supporting actor for	('tina fey and amy poehler', 'a')
	http://t.co/	redcarpet	tina fey 	i	best supporting actor	(' and', 'them', 'sarah')
	http://t.co/	redcarpet	there was honestly no better decision made than choosing these two to	it	best supporting actor	(' foreigners living in america', 'award', 'foreigner')
	http://t.co/	kateefect	holy	sofiavegara	best supporting actor for	('don cheatle', 'for')
	http://t.co/	goldenglobes	me encantan las	i	best supporting actor for	(' nbc keeping audio of producer counting down while network segues to golden globes', 'some idea what matt lauer has', 'deal')
	http://t.co/	goldenglobes	best	leonardo dicaprio	best supporting actor for	('s', 'on')
	http://t.co/	redcarpet	this is gonna be a funny golden globes with these two	leonardo dicaprio	best supporting actor for	(' and', 'at')
	http://t.co/	goldenglobes	i am so excited for them to	fudge	best supporting actor for	('eva longoria', 'at')
	http://t.co/	goldenglobes	no pudieron escoger a mejores	i	best supporting actor in	(' if they', 'out')
	http://t.co/	goldenglobes	love how the	goldenglobes american horror story	best supporting actor in	('m', 'award')
	http://t.co/	goldenglobes	love nbc for picking these wonderful people to	jessica lange	best supporting actor for	('ll', 'hollywood foreign press a path', 'citizenship')
	http://t.co/	goldenglobes	goldenglobes liking the dresses of the	jessica lange	best supporting actor for django unchained	('without actors who would', 'awards', 'other')
	http://t.co/	goldenglobes	amy poehler	but leo	best supporting actor for motion picture	('confused as to why the music after the winner is', 'sounds')
	http://t.co/	goldenglobes	sickest fucking	jessica lange	best supporting actor in	(' rich kid who', 'a')
	http://t.co/	goldenglobes	amy are absolutely stunning	jessica lange	best supporting actor in	('s', 'an award', 'eva')
	http://t.co/	goldenglobes	tina fey and amy poehler have graciously provided a golden globes drinking game	jessica lange	best supporting actress	(' i would', 'a golden globe', 'game')
	http://t.co/	goldenglobes	just keep showing me the	jessica lange	best supporting actress in a drama	(' she just', 'a')
	http://t.co/	goldenglobes	they could not of chosen a better pair to	jessica lange	best supporting actor in	('juliannemoore just', 'a')
	http://t.co/	goldenglobes	watching the golden globes	jessica lange	best supporting actress in a miniseries for downton abbey	('m actually unable to', 'words', 'how')
	http://t.co/	goldenglobes	having tina fey and amy poehler	jessica lange	best supporting actor at	('goldenglobes just', 'best')
	http://t.co/	goldenglobes	tina fey and amy poehler have graciously provided a golden globes drinking game	liz and dick	best supporting actress in a miniseries for downton abbey	(' lifting up her shirt to', 'too')
	http://t.co/	goldenglobes	how come tina fey decided to look like a tranny hooker to	darcy	best supporting actor at	(' my knees', 'a')
	http://t.co/	bestdressed	ready for tina and amy to be hilarious	liz and dick	best supporting actress in a tv show	('if they', '#')
	http://t.co/	goldenglobes	tina and amy are	jessica lange	best director	('t tina', 'amy', 'all')
	http://t.co/	goldenglobes	como la ponen de	jessica lange	best supporting actor for	('m', 'award')
	http://t.co/	goldenglobes	they make you	jessica lange	best supporting actor at	('as if i', 'a')
	http://t.co/	goldenglobes	the	jessica lange	best supporting actor at	('goldenglobes', 'dennis')
	http://t.co/	goldenglobes	amy poehler	americanhorrorstory	best supporting actor at	('s', 'an award', 'eva')
	http://t.co/	redcarpet	amy poehler and tina fey you both better be fucking good	jessica lange	best supporting actor at	(' are', 'http')
	http://t.co/	goldenglobes	re watching the globes for no particular reason other than we love the two	jessicalange	best supporting actor at	(' so excited and honored to be', 'at')
	http://t.co/	goldenglobes	can we add on another sip for every	jessica lange	best supporting actress in a tv show	('i feel bad for those who have to', 'a speech at the golden globes. its hard', 'feign')
	http://t.co/	goldenglobes	seeing the golden globes and both	jessica lange	best supporting tv actress in downton abbey	('goldenglobes the one that', 'les')
	http://t.co/	goldenglobes	tina fey and amy poehler have graciously provided a golden globes drinking game	jessica lange	best supporting actor at	(' why did they randomly', 'famous')
